Agent_Code,Agent_Name
0100361,UNKNOWN - Slapshot RI Fix
0200000,PL PRODUCT VALIDATION
0200002,MEADOWBROOK INC
0200004,PL PRODUCT VALIDATION
0200005,PEABODY INSURANCE AGENCY
0200016,"CONSOLIDATED AGENCIES, INC"
0200025,"E.W. SMITH AGENCY, INC."
0200026,STANDARD INSURANCE SERVICE
0200027,AUTUMN ASSOCIATES
0200030,ACORDIA OF MICHIGAN
0200034,RALPH C. WILSON AGCY INC.
0200042,"DON E. WOLCOTT, INC"
0200046,PLANED INSURANCE UNDERWRIT
0200047,IMCO CORPORATION
0200049,STERLING GROUP
0200057,VTC INSURANCE GROUP
0200060,ZERVOS AGENCY INC.
0200062,DAVISON-KLEINSCHMIT AGENCY
0200068,DAVIS-VANDENBOSSCHE AGCY
0200071,MCGLONE & ASSOCIATES
0200079,LEO CUMMINGS INS AGY
0200080,ALLIED INSURANCE MANAGERS
0200081,"EMERSON-PREW, INC."
0200082,"GOMPERS, CORNISH & BARR"
0200086,HARTLAND INSURANCE GROUP
0200089,"GOMPERS, CORNISH & BARR"
0200090,MICHIGAN COMM INS AGY INC
0200094,LUTHERAN TRUST AGENCY
0200095,THE BROGREN AGENCY INC.
0200099,C.L. FINLAN & SON INC.
0200101,ALLEN-KOROLIK INC
0200102,FRASE INSURANCE AGENCY
0200105,PENN GENERAL AGENCIES OF
0200106,"KARN-SITKINS-PAYETTE, INC."
0200110,"WTW MIDWEST, INC"
0200111,WESTOWN INS AGENCIES INC
0200114,DUNCAN INSURANCE AGENCY
0200115,AL BOURDEAU INSURANCE
0200117,STALLWORTH & LINDENBECK
0200121,SWEET & ASSOCIATES
0200122,UNKNOWN - Slapshot RI Fix
0200125,GOWING INS AGENCY
0200129,LEGACY PARTNERS II LLC
0200136,THE ROHRIG AGENCY
0200137,HOWEY & ASSOCIATES INC.
0200139,KOROTKIN INSURANCE GROUP
0200140,STERLING GROUP
0200142,"MCNISH GROUP, INC."
0200143,HUB INTERNATIONAL MIDWEST
